isNewVisitor,fullReferrerIsSet,mediumIsSet,networkDomainIsSet,networkLocationIsSet,landingPagePathIsSet,sessions,bounceRate,pageviewsPerSession,timeOnPage,source,isSpam
0,1,1,1,1,1,1,100,1,0,10.245.90.39:15871,0
0,1,1,1,1,1,1,100,1,0,192.168.2.105:8080,0
0,1,1,1,1,0,1,100,1,0,2482829.responsive-test.net,0
0,1,1,1,1,0,1,0,4,684,ak7.io,0
0,1,1,1,1,0,1,0,3,16,ak7.io,0
0,1,1,1,1,0,1,0,2,11,ak7.io,0
0,1,1,1,1,0,1,100,1,0,ak7.io,0
0,1,1,1,1,0,1,0,32,583,ak7.io,0
0,1,1,0,0,0,5,80,1.2,1,allmark.io,0
0,1,1,0,1,0,1,0,8,55,allmark.io,0
0,1,1,0,1,0,1,0,2,35,allmark.io,0
0,1,1,1,1,0,1,100,1,0,allmark.io,0
0,1,1,1,1,0,1,0,2,11,allmark.io,0
0,1,1,1,1,0,1,0,3,31,allmark.io,0
0,1,1,1,1,0,1,0,4,10,allmark.io,0
0,1,1,1,1,0,1,0,4,22,allmark.io,0
0,1,1,1,1,0,2,100,1,0,allmark.io,0
0,1,1,1,1,0,1,0,2,19,allmark.io,0
0,1,1,1,1,0,1,0,11,611,allmark.io,0
0,1,1,1,1,0,1,0,4,23,allmark.io,0
0,1,1,1,1,0,2,0,7,620,allmark.io,0
0,1,1,1,1,0,1,0,7,1920,allmark.io,0
0,1,1,1,1,0,1,0,2,284,allmark.io,0
0,1,1,1,1,0,1,0,4,70,allmark.io,0
0,1,1,1,1,0,1,0,5,1573,allmark.io,0
0,1,1,1,1,0,1,0,6,44,allmark.io,0
0,1,1,1,1,0,1,0,4,31,allmark.io,0
0,1,1,1,1,0,2,50,2,310,allmark.io,0
0,1,1,1,1,0,1,0,4,39,allmark.io,0
0,1,1,1,1,0,1,0,8,171,allmark.io,0
0,1,1,1,1,0,1,0,3,1075,allmark.io,0
0,1,1,1,1,0,1,0,3,5,allmark.io,0
0,1,1,1,1,0,2,50,1.5,25,allmark.io,0
0,1,1,1,1,0,1,0,2,104,allmark.io,0
0,1,1,1,1,0,1,0,2,23,allmark.io,0
0,1,1,1,1,0,1,0,3,127,allmark.io,0
0,1,1,1,1,0,1,0,7,56,allmark.io,0
0,1,1,1,1,0,1,0,2,8,allmark.io,0
0,1,1,1,1,0,1,0,3,241,allmark.io,0
0,1,1,1,1,0,1,0,7,64,allmark.io,0
0,1,1,1,1,0,1,0,4,13,allmark.io,0
0,1,1,1,1,0,1,0,2,64,allmark.io,0
