ga:userType,ga:fullReferrer,ga:source,ga:medium,ga:networkDomain,ga:networkLocation,ga:landingPagePath,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:timeOnPage,isSpam
New Visitor,(direct),(direct),(none),akamaitechnologies.com,akamai technologies inc.,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),alicedsl.de,telefonica germany gmbh & co. ohg,/collections/Zitate/Sammlung,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),alshamil.net.ae,emirates telecommunications corporation,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/,27,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/about,19,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/collections,18,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/development,20,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/impressum,22,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon technologies inc.,/random,16,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/,11,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/about,12,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/collections,16,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/development,12,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/development/SSL/Lets+Encrypt+Beta+Program,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/impressum,12,91.66666666666666,1.0833333333333333,18.0,0
New Visitor,(direct),(direct),(none),amazonaws.com,amazon.com inc.,/random,14,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amdocs.com,amdocs (israel) ltd,/development/2013-07-17-SoapUI-Development-Process,8,87.5,1.125,10.0,0
New Visitor,(direct),(direct),(none),ameritech.net,pppox pool - rback6.applwi 072005-1652,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),amphitrion.gr,subneted-to-4,/development/Microsoft-Commerce-Server,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),aquanetworks.co.uk,aqua networks,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),archive.org,internet archive,/web/20090130065042/http://andykdocs.de/,1,0.0,2.0,54.0,0
New Visitor,(direct),(direct),(none),arcor-ip.net,arcor ag,/collections/Festivals/Hurricane-Festival-2011,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),arcor-ip.net,arcor ag & co kg network operation center,/collections/Reisen/2010-08-Tour-de-Scandinavie/Etappe-1-Rheda-Wiedenbruck-Rostock-Trelleborg,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),arcor-ip.net,vodafone d2 gmbh,/random/2006-12-15-Böse-Böse-10-kmh-zu-schnell,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),arcor-ip.net,vodafone d2 gmbh,/random/2014-03-26+Rubik-Cube+Anleitung,1,0.0,3.0,530.0,0
New Visitor,(direct),(direct),(none),as9105.com,dynamic dsl - london,/,1,0.0,2.0,12.0,0
New Visitor,(direct),(direct),(none),asianet.co.th,fix ip for coporate customer,/development/SSL,1,0.0,2.0,891.0,0
